,error_baseline,performance_baseline,error_task,performance_task,bdi,condition_list,pid,pid_nr,confidence_baseline,confidence_task,error_change_baseline,error_change_task,estimate_baseline,estimate_task,subtrial_std_baseline,subtrial_var_baseline,subtrial_std_task,subtrial_var_task,subtrial_error_mean_baseline,subtrial_error_variance_baseline,subtrial_error_std_baseline,subtrial_error_mean_task,subtrial_error_variance_task,subtrial_error_std_task,a_empirical,feedback,session
10,[],[],"[  1.   4. -18.  -4. -42. -40.  -1. -42.  -9.   7. -19.  -9. -17. -50.
   2.]",[ 1.  4. 18.  4. 42. 40.  1. 42.  9.  7. 19.  9. 17. 50.  2.],0.0,neut,5b0482e8e6ea3c00015ff4f7,10,[],[59. 66. 57. 68. 50. 55. 60. 68. 67. 59. 43. 73. 67. 54. 76.],[],[  3.  14. -14.  38.  -2. -39.  41. -33.  -2.  12. -10.   8.  33. -48.],[],"[35.33333333 32.33333333 70.66666667 59.         73.33333333 58.33333333
 51.66666667 53.         50.33333333 52.33333333 35.         43.66666667
 27.         47.         34.33333333]",[],[],"[17.09775814 13.57694124 17.55942292 36.59234893 10.40833    25.14623895
 29.73774257 25.23885893 27.39221301 21.77919497  2.         20.0333056
  8.71779789 19.97498436 20.50203242]","[ 292.33333333  184.33333333  308.33333333 1339.          108.33333333
  632.33333333  884.33333333  637.          750.33333333  474.33333333
    4.          401.33333333   76.          399.          420.33333333]",[],[],[],"[ 3.33333333  4.33333333 11.         16.33333333 33.66666667 31.
 10.33333333 27.33333333 13.66666667  9.33333333 19.         18.33333333
  6.33333333 33.33333333 17.33333333]","[  6.33333333   2.33333333  93.         114.33333333 108.33333333
  67.         234.33333333 450.33333333 137.33333333  34.33333333
   4.         506.33333333  86.33333333 692.33333333 752.33333333]","[ 2.51661148  1.52752523  9.64365076 10.69267662 10.40833     8.18535277
 15.30795    21.22105872 11.71893055  5.85946528  2.         22.50185178
  9.29157324 26.31222783 27.42869544]","[-3.500000000175, -0.44999999999775003, -0.6111111111145061, -0.8999999999955001, 4.9999999995, -0.25000000000125, -0.400000000002, 0.05000000000025, -0.399999999998, 0.8421052631623268, 300000000000.0, -2.99999999985, -0.6499999999967501, 21.9999999978]",[57. 86. 39. 88. 51. 35. 40. 48. 87. 40. 43. 75. 87. 55. 97.],0
11,[],[],"[  1.   4.  -7.  -1. -22. -27.  -1. -12.  -4.  -1. -14. -14.   1. -12.
   4.]",[ 1.  4.  7.  1. 22. 27.  1. 12.  4.  1. 14. 14.  1. 12.  4.],8.0,neut,5b0dda5f176cbc00012d3df6,11,[],[82. 75. 35. 61. 50. 65. 60. 26. 75. 66. 38. 59. 78. 72. 90.],[],[  3.   3.  -6.  21.   5. -26.  11.  -8.  -3.  13.   0. -13.  11.  -8.],[],"[31.66666667 31.66666667 73.33333333 63.33333333 93.33333333 61.66666667
 56.66666667 68.33333333 63.33333333 33.33333333 40.         46.66666667
 33.66666667 69.         43.33333333]",[],[],"[20.20725942 11.54700538 23.09401077 58.59465277  7.63762616 23.62907813
 47.25815626 41.93248542 51.31601439 12.58305739  0.         30.55050463
 18.47520861 40.77989701 31.75426481]","[ 408.33333333  133.33333333  533.33333333 3433.33333333   58.33333333
  558.33333333 2233.33333333 1758.33333333 2633.33333333  158.33333333
    0.          933.33333333  341.33333333 1663.         1008.33333333]",[],[],[],"[ 1.          5.66666667  6.33333333 12.66666667 13.66666667 27.66666667
  6.         10.          6.          9.66666667 14.         14.
  1.66666667 10.         11.66666667]","[  0.           8.33333333   0.33333333 122.33333333  58.33333333
  81.33333333  49.          67.          39.          81.33333333
   0.         169.           0.33333333  67.         176.33333333]","[ 0.          2.88675135  0.57735027 11.06044002  7.63762616  9.01849951
  7.          8.18535277  6.244998    9.01849951  0.         13.
  0.57735027  8.18535277 13.27905619]","[-70000000000.0, -1.8181818181735538, -1.368421052638781, -0.5238095238070295, 14.9999999985, 0.2272727272737603, 1.7000000000084998, -2.227272727282851, -0.4090909090890496, 1.5555555555641973, -21.000000002100002, -9.500000000475, -0.2999999999985, 17.9999999982]","[ 82.  97.  16.  82.  51.  43.  40.   4.  97.  48.  37.  57.  98.  73.
 100.]",0
12,[],[],"[ -9.   3. -28.   1. -48. -38.  -3. -21. -15.   2.  -2.  -8.   7. -31.
   2.]",[ 9.  3. 28.  1. 48. 38.  3. 21. 15.  2.  2.  8.  7. 31.  2.],4.0,neut,5b1af8c6cd12230001684625,12,[],[76. 78. 69. 84. 76. 84. 79. 83. 79. 85. 78. 80. 83. 83. 83.],[],[ -6.  25. -27.  47. -10. -35.  18.  -6. -13.   0.   6.  -1.  24. -29.],[],"[27.33333333 26.33333333 64.66666667 49.         64.         53.66666667
 37.         61.33333333 41.         36.66666667 51.66666667 44.33333333
 40.33333333 57.         33.66666667]",[],[],"[15.50268794  9.71253486 13.20353488 28.05352028  6.244998   15.50268794
 19.         35.21836642 19.07878403 12.09683154  2.51661148 19.55334583
 17.92577288 29.51270913 21.1266025 ]","[ 240.33333333   94.33333333  174.33333333  787.           39.
  240.33333333  361.         1240.33333333  364.          146.33333333
    6.33333333  382.33333333  321.33333333  871.          446.33333333]",[],[],[],"[ 4.66666667  7.66666667 12.33333333 12.33333333 43.         35.66666667
 23.66666667 17.         21.          7.66666667  2.33333333 18.33333333
  8.33333333 22.66666667 17.33333333]","[ 20.33333333  65.33333333 196.33333333 217.33333333  39.
 346.33333333 609.33333333 237.         511.          30.33333333
   6.33333333 500.33333333   2.33333333 324.33333333 752.33333333]","[ 4.50924975  8.08290377 14.0118997  14.74222959  6.244998   18.61003314
 24.68467811 15.39480432 22.60530911  5.50757055  2.51661148 22.36813209
  1.52752523 18.00925688 27.42869544]","[-2.0000000002, -0.44999999999775003, -0.7500000000037499, -0.49999999999687506, -8.0000000008, 0.25000000000125, -0.1904761904770975, 0.2105263157905817, 0.2999999999985, 0.38888888889104933, 20000000000.0, -1.500000000075, 0.0, 0.0]","[ 75.  98.  49. 100.  75.  64.  58.  64.  99.  67.  78.  78. 100.  84.
 100.]",0
13,[],[],"[  6.  -1. -32.  -1. -27. -27.  -1. -22.  21.   2. -24. -19.  -4. -32.
   2.]",[ 6.  1. 32.  1. 27. 27.  1. 22. 21.  2. 24. 19.  4. 32.  2.],6.0,neut,5b6645f2f7798c000182baa3,13,[],[64. 71. 78. 61. 57. 72. 69. 50. 58. 65. 51. 70. 60. 68. 65.],[],[ -5.  31. -31.  26.   0. -26.  21.  -1. -19.  22.  -5. -15.  28. -30.],[],"[33.33333333 30.         53.33333333 33.33333333 78.33333333 60.
 41.66666667 61.66666667 58.         36.         35.         42.66666667
 32.         56.         40.33333333]",[],[],"[23.09401077 17.32050808 18.92969449 12.58305739  2.88675135 26.45751311
 25.6580072  36.17089069 29.44486373 11.53256259  5.         24.41993721
 15.58845727 28.68797658 30.022214  ]","[ 533.33333333  300.          358.33333333  158.33333333    8.33333333
  700.          658.33333333 1308.33333333  867.          133.
   25.          596.33333333  243.          823.          901.33333333]",[],[],[],"[ 2.66666667  2.         18.33333333 27.33333333 28.66666667 29.33333333
 19.         16.66666667 18.66666667  8.33333333 19.         19.33333333
  2.66666667 23.66666667 12.        ]","[  8.33333333   3.         146.33333333 982.33333333   8.33333333
  46.33333333 324.         190.33333333 214.33333333  36.33333333
  25.         306.33333333   1.33333333 358.33333333 300.        ]","[ 2.88675135  1.73205081 12.09683154 31.34219733  2.88675135  6.80685929
 18.         13.79613472 14.6401275   6.02771377  5.         17.50238079
  1.15470054 18.92969449 17.32050808]","[-3.500000000175, 0.3684210526296399, 0.8947368421099722, -0.19047619047528347, 150000000000.0, 0.15000000000074998, 0.9500000000047499, -0.380952380954195, 0.34999999999825004, 0.6363636363665289, 18.9999999981, -100000000000.0, 0.42105263157673134, 1.0000000000333333]",[62. 90. 59. 82. 57. 52. 49. 29. 78. 43. 52. 70. 79. 65. 85.],0
14,[],[],"[  1.  -1.  69.  -1. -34. -42.   0. -44.   6.  -1.  -5.  -4. -17. -32.
   2.]",[ 1.  1. 69.  1. 34. 42.  0. 44.  6.  1.  5.  4. 17. 32.  2.],0.0,neut,5b7f4108db11320001c4b0c1,14,[],"[ 65.  53.  53.  59.  46.  50. 100.  45.  48.  57.  52.  51. 100.  47.
  50.]",[],[  0.  68. -68.  33.   8. -42.  44. -38.  -5.   4.  -1.  13.  15. -30.],[],"[35.33333333 36.33333333 97.66666667 50.33333333 77.         64.66666667
 43.66666667 52.33333333 57.33333333 41.33333333 53.         50.33333333
 25.33333333 51.         35.33333333]",[],[],"[17.03917056 24.09010862 67.98774399 27.06165799  6.08276253 11.50362262
 23.54428452 26.65207934 33.08070938 18.47520861  4.         27.50151511
 10.11599394 29.54657341 24.00694344]","[ 290.33333333  580.33333333 4622.33333333  732.33333333   37.
  132.33333333  554.33333333  710.33333333 1094.33333333  341.33333333
   16.          756.33333333  102.33333333  873.          576.33333333]",[],[],[],"[ 3.33333333  5.         26.         13.66666667 30.         24.66666667
 17.         26.66666667  8.66666667  1.66666667  3.         11.66666667
  6.66666667 27.33333333 15.66666667]","[4.33333333e+00 2.10000000e+01 1.40700000e+03 3.45333333e+02
 3.70000000e+01 4.50333333e+02 3.99000000e+02 5.14333333e+02
 6.93333333e+01 3.33333333e-01 4.00000000e+00 2.26333333e+02
 8.03333333e+01 5.00333333e+02 6.02333333e+02]","[ 2.081666    4.58257569 37.50999867 18.58314649  6.08276253 21.22105872
 19.97498436 22.67891826  8.326664    0.57735027  2.         15.0443788
  8.96288644 22.36813209 24.54248018]","[12.0000000012, 0.0, -0.30000000000149996, -0.6842105263121885, 40000000000.0, -2.3809523809637185, 2.5000000000113634, -0.1428571428578231, 0.4090909090890496, 0.27777777777932094, 1.0000000001, 48.9999999951, -530000000000.0, -3.0000000003]","[ 64.  74.  33.  78.  46.  29.  78.  24.  70.  39.  51.  52. 100.  46.
  71.]",0
15,[],[],"[ 11.   7. -22.  -1. -17. -27.  -1. -13.  -5.   1.   4.   1.   8.  -2.
   6.]",[11.  7. 22.  1. 17. 27.  1. 13.  5.  1.  4.  1.  8.  2.  6.],4.0,neut,5bca7998a8f39100010709ef,15,[],[80. 87. 89. 91. 88. 90. 95. 91. 83. 83. 85. 95. 88. 89. 90.],[],[ -4.  15. -21.  16.  10. -26.  12.  -8.  -4.   3.  -3.   7.  -6.   4.],[],"[41.33333333 38.66666667 64.66666667 57.33333333 81.66666667 72.
 51.         67.66666667 50.66666667 47.33333333 57.66666667 55.
 41.66666667 75.         52.33333333]",[],[],"[20.55075019 21.1266025  17.61628035 39.10669167  7.63762616 20.22374842
 27.87471973 38.88873016 31.53305144 22.50185178  2.51661148 28.
 17.7857621  40.44749683 39.62743158]","[ 422.33333333  446.33333333  310.33333333 1529.33333333   58.33333333
  409.          777.         1512.33333333  994.33333333  506.33333333
    6.33333333  784.          316.33333333 1636.         1570.33333333]",[],[],[],"[ 9.33333333  6.66666667  7.66666667  3.33333333 25.33333333 17.33333333
 13.         12.         10.          4.33333333  3.66666667 10.33333333
  9.66666667  8.66666667  8.66666667]","[  4.33333333   6.33333333 154.33333333  24.33333333  58.33333333
 126.33333333 304.          91.         151.          33.33333333
   6.33333333 146.33333333   8.33333333  49.33333333   6.33333333]","[ 2.081666    2.51661148 12.42309677  4.93288286  7.63762616 11.2398102
 17.43559577  9.53939201 12.28820573  5.77350269  2.51661148 12.09683154
  2.88675135  7.02376917  2.51661148]","[-3.500000000175, 0.1538461538449704, -0.10526315789529085, -0.3333333333296296, -2.0000000002, -0.27777777777932094, 0.1904761904770975, 0.400000000002, 0.0, -0.10526315789529085, -10.000000001, -70000000000.0, 0.08333333333263888, -1.0000000001]","[ 78. 100.  70. 100.  87.  72.  74.  71. 100.  64.  84.  95. 100.  88.
 100.]",0
16,[],[],"[  1.   8. -36.   0. -36. -39.  -3. -31. -12.   3. -10. -10.  -2. -37.
   1.]",[ 1.  8. 36.  0. 36. 39.  3. 31. 12.  3. 10. 10.  2. 37.  1.],0.0,neut,5bcbde9d08a62c0001f86bd0,16,[],[56. 71. 65. 75. 29. 55. 71. 72. 54. 35. 51. 61. 67. 75. 71.],[],[  7.  28. -36.  36.   3. -36.  28. -19.  -9.   7.   0.  -8.  35. -36.],[],"[35.33333333 32.33333333 58.         55.33333333 76.33333333 53.66666667
 39.66666667 58.66666667 40.33333333 50.66666667 52.66666667 50.
 33.         52.66666667 42.        ]",[],[],"[17.21433511 13.31665624 11.78982612 30.43572462  4.72581563 19.85782801
 25.6580072  34.44318994 18.55622088 23.2880513  11.71893055 31.43246729
 17.05872211 25.00666578 31.2409987 ]","[ 296.33333333  177.33333333  139.          926.33333333   22.33333333
  394.33333333  658.33333333 1186.33333333  344.33333333  542.33333333
  137.33333333  988.          291.          625.33333333  976.        ]",[],[],[],"[ 3.33333333  5.         14.33333333 13.33333333 30.66666667 35.66666667
 21.         19.66666667 20.33333333  7.66666667  9.33333333 11.33333333
  3.66666667 27.66666667 11.66666667]","[ 10.33333333  19.         358.33333333 197.33333333  22.33333333
 129.33333333 324.         240.33333333 652.33333333  25.33333333
   9.33333333 122.33333333   8.33333333 465.33333333 229.33333333]","[ 3.21455025  4.35889894 18.92969449 14.04753834  4.72581563 11.37248141
 18.         15.50268794 25.54081701  5.03322296  3.05505046 11.06044002
  2.88675135 21.57158625 15.14375559]","[-15.0000000015, -0.3157894736825485, -0.4545454545475206, -2.090909090899587, 260000000000.0, -0.800000000004, -0.052631578947645426, 0.9000000000044999, -0.9499999999952501, -0.8421052631623268, 9.999999999, 60000000000.0, 0.399999999998, -3.9999999996]",[55. 90. 43. 97. 29. 35. 52. 52. 74. 16. 52. 61. 87. 76. 90.],0
17,[],[],"[  1.  -1. -52.   4. -57. -62.  -1. -62. -24.  -1. -24. -24. -14. -67.
  -1.]",[ 1.  1. 52.  4. 57. 62.  1. 62. 24.  1. 24. 24. 14. 67.  1.],8.0,neut,5bcdb99f3a99c4000153d33c,17,[],[51. 44. 63. 47. 64. 75. 70. 58. 33. 79. 55. 83. 70. 70. 65.],[],[  0.  51. -48.  53.   5. -61.  61. -38. -23.  23.   0. -10.  53. -66.],[],"[30.         28.33333333 46.66666667 35.         55.         41.66666667
 33.33333333 40.         33.33333333 35.         31.66666667 31.66666667
 28.33333333 35.         26.66666667]",[],[],"[21.79449472 14.43375673  7.63762616 21.79449472  5.          5.77350269
 12.58305739 18.02775638 10.40833    13.22875656  2.88675135 12.58305739
 10.40833     8.66025404 11.54700538]","[475.         208.33333333  58.33333333 475.          25.
  33.33333333 158.33333333 325.         108.33333333 175.
   8.33333333 158.33333333 108.33333333  75.         133.33333333]",[],[],[],"[ 2.66666667  3.66666667 25.         28.33333333 52.         47.66666667
 27.33333333 38.33333333 30.          8.         22.33333333 29.
  6.33333333 46.         23.        ]","[   8.33333333   21.33333333  553.          486.33333333   25.
  616.33333333  982.33333333 1070.33333333  868.           43.
    8.33333333  949.           46.33333333 1323.         1452.        ]","[ 2.88675135  4.61880215 23.51595203 22.05296654  5.         24.82606158
 31.34219733 32.71594922 29.46183973  6.55743852  2.88675135 30.8058436
  6.80685929 36.37306696 38.10511777]","[-6.9999999993, 0.8636363636324381, 0.800000000004, 0.8095238095199547, -5.5000000002750005, 0.26315789473822715, 0.6315789473717451, 1.3157894736911355, 2.19047619046576, 1.1428571428625849, 280000000000.0, -12.9999999987, 0.0, -50000000000.0]",[52. 66. 43. 68. 62. 56. 51. 39. 54. 58. 55. 84. 91. 70. 85.],0
18,[],[],"[ 16.   5.  30.   1.  37.  20.  -2.  21.  -4.  -2.  22. -10.  -4.   3.
  -2.]",[16.  5. 30.  1. 37. 20.  2. 21.  4.  2. 22. 10.  4.  3.  2.],3.0,neut,5bd3ff16b209800001bed096,18,[],[72. 56. 63. 72. 77. 68. 82. 87. 62. 68. 62. 88. 63. 63. 81.],[],[-11.  25. -29.  36. -17. -18.  19. -17.  -2.  20. -12.  -6.  -1.  -1.],[],"[ 38.33333333  29.66666667  96.66666667  65.66666667 134.66666667
  87.33333333  54.66666667  72.          60.          41.33333333
  78.66666667  64.33333333  31.33333333  78.66666667  43.33333333]",[],[],"[27.53785274  4.72581563 36.77408508 56.88878038 12.85820101 47.28988616
 41.35617648 55.02726597 45.82575695 19.85782801 20.13289183 56.32347054
 16.44181661 50.00333322 40.42688874]","[ 758.33333333   22.33333333 1352.33333333 3236.33333333  165.33333333
 2236.33333333 1710.33333333 3028.         2100.          394.33333333
  405.33333333 3172.33333333  270.33333333 2500.33333333 1634.33333333]",[],[],[],"[ 7.         10.33333333 25.         11.         27.66666667 15.33333333
  6.         20.33333333  2.66666667  3.66666667 24.66666667 10.33333333
  3.33333333  1.66666667  6.33333333]","[ 63.          57.33333333 151.         124.         165.33333333
  52.33333333  13.         289.33333333   2.33333333   4.33333333
 405.33333333 110.33333333   1.33333333   2.33333333  86.33333333]","[ 7.93725393  7.57187779 12.28820573 11.13552873 12.85820101  7.23417814
  3.60555128 17.0098011   1.52752523  2.081666   20.13289183 10.5039675
  1.15470054  1.52752523  9.29157324]","[-15.9999999984, 0.38888888888672846, -0.45000000000224993, 0.2777777777762346, -90000000000.0, -0.7000000000034999, -0.27777777777932094, 1.3157894736911355, 0.2999999999985, 0.30000000000149996, 25.9999999974, 25.000000002500002, 0.0, 17.9999999982]","[ 73.  74.  43.  90.  77.  48.  64.  68.  82.  48.  63.  87.  83.  64.
 100.]",0
19,[],[],"[ 14.   9.  33.   4.   8.   3.   1.  33.  -4.   9.   6. -14.  -9. -32.
   0.]",[14.  9. 33.  4.  8.  3.  1. 33.  4.  9.  6. 14.  9. 32.  0.],10.0,neut,5bd635fc9afb5b00015cb2aa,19,[],[42. 50. 27. 47. 36. 42. 33. 43. 29. 52. 38. 40. 68. 56. 67.],[],[ -5.  24. -29.   4.  -5.  -2.  32. -29.   5.  -3.   8.  -5.  23. -32.],[],"[ 47.33333333  36.66666667 156.66666667  70.         106.66666667
  95.33333333  70.66666667 111.66666667  51.66666667  56.66666667
  60.          50.          29.33333333  57.66666667  37.        ]",[],[],"[18.00925688 11.54700538 37.85938897 54.08326913 10.40833    25.40341184
 44.73626419 76.53975002 27.53785274 25.16611478 10.         26.45751311
 13.65039682 30.022214   28.58321186]","[ 324.33333333  133.33333333 1433.33333333 2925.          108.33333333
  645.33333333 2001.33333333 5858.33333333  758.33333333  633.33333333
  100.          700.          186.33333333  901.33333333  817.        ]",[],[],[],"[15.33333333  7.33333333 85.          9.33333333  7.66666667  6.
 10.         33.33333333 11.66666667 13.66666667  8.66666667 16.66666667
  4.         22.         12.66666667]","[   5.33333333    8.33333333 3253.          142.33333333   20.33333333
   27.          193.          870.33333333  176.33333333  116.33333333
   41.33333333   86.33333333   19.          300.          444.33333333]","[ 2.30940108  2.88675135 57.03507693 11.93035345  4.50924975  5.19615242
 13.89244399 29.5014124  13.27905619 10.78579312  6.42910051  9.29157324
  4.35889894 17.32050808 21.07921567]","[-8.0000000008, -1.09523809523288, -1.1111111111172838, -0.5238095238070295, 5.9999999994, 0.4090909090927686, -0.5555555555586419, 0.7000000000034999, 1.09523809523288, 0.7000000000034999, -2.0000000002, -28.0000000028, -0.599999999997, -11.0000000011]",[41. 71.  9. 68. 37. 20. 15. 23. 50. 32. 37. 39. 88. 55. 87.],0
20,[],[],"[ -4.  -4.  -7.  -4.  13.   3.  -9.  -7. -19.  -6.  -4.  -9.  -4. -47.
  -1.]",[ 4.  4.  7.  4. 13.  3.  9.  7. 19.  6.  4.  9.  4. 47.  1.],1.0,neut,5bda6b03b341a400015413f1,20,[],[79. 60. 76. 34. 65. 70. 68. 56. 40. 44. 50. 41. 49. 52. 63.],[],[  0.   3.  -3.   9. -10.   6.  -2.  12. -13.  -2.   5.  -5.  43. -46.],[],"[ 28.33333333  31.66666667  75.          37.33333333 116.66666667
  78.33333333  40.66666667  71.66666667  44.          36.66666667
  41.66666667  44.33333333  25.          45.          28.33333333]",[],[],"[18.92969449 20.42873793 21.79449472 17.7857621   5.77350269 38.83726733
 31.87998327 49.07477288 32.44996148 20.20725942  7.63762616 26.00640947
 21.79449472 25.98076211 18.92969449]","[ 358.33333333  417.33333333  475.          316.33333333   33.33333333
 1508.33333333 1016.33333333 2408.33333333 1053.          408.33333333
   58.33333333  676.33333333  475.          675.          358.33333333]",[],[],[],"[ 3.66666667  2.33333333  8.         23.33333333  9.66666667 13.
 20.          6.66666667 16.66666667  7.         12.33333333 16.33333333
  7.         33.33333333 21.33333333]","[6.33333333e+00 2.33333333e+00 7.00000000e+00 8.56333333e+02
 3.33333333e+01 7.60000000e+01 1.33000000e+02 3.33333333e-01
 1.36333333e+02 4.30000000e+01 5.83333333e+01 3.29333333e+02
 1.30000000e+01 5.60333333e+02 9.60333333e+02]","[ 2.51661148  1.52752523  2.64575131 29.26317367  5.77350269  8.71779789
 11.53256259  0.57735027 11.67618659  6.55743852  7.63762616 18.14754345
  3.60555128 23.67136104 30.98924545]","[9.500000000475, 0.8421052631534627, 1.9090909090995867, 1.6315789473598339, -5.0000000005, 0.10526315789529085, 0.6000000000029999, 0.8421052631623268, 0.21052631578836567, -0.31578947368587257, -8.9999999991, 3.9999999998, 0.1428571428564626, -11.0000000011]",[77. 79. 54. 53. 64. 51. 48. 37. 59. 25. 51. 43. 70. 51. 83.],0
21,[],[],"[-11.   0.  -1.   2. -27.  -9.   0. -21. -11.   2. -22.   0.   0. -29.
   0.]",[11.  0.  1.  2. 27.  9.  0. 21. 11.  2. 22.  0.  0. 29.  0.],15.0,neut,5be2b8a216d2e200015357b1,21,[],"[ 79.  91.  82.  75.  65.  39.  86.  85.  69.  39.  42.  80.  91.  66.
 100.]",[],[-11.   1.   1.  25. -18.  -9.  21. -10.  -9.  20. -22.   0.  29. -29.],[],"[28.33333333 32.33333333 78.66666667 56.33333333 81.         85.66666667
 58.33333333 60.33333333 59.66666667 68.33333333 55.33333333 50.66666667
 32.         63.         43.33333333]",[],[],"[12.85820101 19.62990915 25.32455988 29.48445918 21.51743479 12.50333289
 33.84277372 34.58805189 44.41095961 44.52340209 21.38535324 27.15388247
 19.05255888 35.93048845 37.81974793]","[ 165.33333333  385.33333333  641.33333333  869.33333333  463.
  156.33333333 1145.33333333 1196.33333333 1972.33333333 1982.33333333
  457.33333333  737.33333333  363.         1291.         1430.33333333]",[],[],[],"[ 5.          0.33333333  7.66666667 22.33333333 26.         16.33333333
 11.         18.          6.33333333 25.33333333 16.         10.66666667
  0.         16.          7.        ]","[2.70000000e+01 3.33333333e-01 1.14333333e+02 3.66333333e+02
 4.63000000e+02 4.13333333e+01 1.03000000e+02 2.79000000e+02
 1.73333333e+01 8.49333333e+02 7.60000000e+01 3.10333333e+02
 0.00000000e+00 1.99000000e+02 1.27000000e+02]","[ 5.19615242  0.57735027 10.69267662 19.13983629 21.51743479  6.42910051
 10.14889157 16.70329309  4.163332   29.14332399  8.71779789 17.61628035
  0.         14.10673598 11.26942767]","[-6.0000000003, -0.9999999999888889, 0.38888888889104933, -0.45454545454338846, 26.0000000026, -2.35000000001175, 0.05000000000025, 0.8888888888938271, -1.4999999999925002, -0.15000000000074998, -38.000000003800004, -5.5000000002750005, -2.7777777777469135, 340000000000.0]","[ 77. 100.  64.  97.  64.  19.  66.  67.  89.  19.  41.  78. 100.  66.
 100.]",0
22,[],[],"[ 10.   1. -19.   3. -20. -11.   1. -20.   4.   0.   9.  -4. -11. -22.
  -1.]",[10.  1. 19.  3. 20. 11.  1. 20.  4.  0.  9.  4. 11. 22.  1.],0.0,neut,5bf311373a5bf00001401f64,22,[],[73. 77. 66. 62. 61. 65. 52. 76. 67. 73. 74. 68. 82. 50. 81.],[],[ -9.  18. -16.  17.  -9. -10.  19. -16.  -4.   9.  -5.   7.  11. -21.],[],"[35.66666667 34.33333333 67.         62.         92.33333333 83.66666667
 56.         62.33333333 52.33333333 43.33333333 59.66666667 54.33333333
 28.66666667 68.         38.66666667]",[],[],"[24.54248018 22.23360819 18.1934054  36.59234893  6.80685929 18.00925688
 31.09662361 34.42867022 25.96792894 19.50213664  4.163332   32.71594922
 12.50333289 41.21892769 30.61590001]","[ 602.33333333  494.33333333  331.         1339.           46.33333333
  324.33333333  967.         1185.33333333  674.33333333  380.33333333
   17.33333333 1070.33333333  156.33333333 1699.          937.33333333]",[],[],[],"[ 3.66666667  2.33333333  8.          8.         14.66666667 11.66666667
 11.33333333 17.33333333 13.          1.66666667  5.66666667  8.33333333
  4.66666667 10.33333333 11.66666667]","[ 30.33333333  10.33333333  91.          19.          46.33333333
   9.33333333 136.33333333 201.33333333 271.           2.33333333
  17.33333333  70.33333333  30.33333333 122.33333333 341.33333333]","[ 5.50757055  3.21455025  9.53939201  4.35889894  6.80685929  3.05505046
 11.67618659 14.18919777 16.46207763  1.52752523  4.163332    8.38649708
  5.50757055 11.06044002 18.47520861]","[1.9999999999, -0.54999999999725, 0.22222222222345678, -0.04999999999975, 40000000000.0, 0.5909090909117768, -1.2000000000059998, 0.4090909090927686, 0.2999999999985, -0.04761904761927437, -60000000000.0, -4.6666666668222225, -1.7777777777679014, 30.9999999969]","[ 75.  97.  48.  82.  61.  43.  32.  54.  87.  52.  74.  65. 100.  51.
 100.]",0
23,[],[],"[ -9.   2. -27.   2.  -7. -27.   0. -27.  -9.   0.  -4.  -9.  -9. -37.
   0.]",[ 9.  2. 27.  2.  7. 27.  0. 27.  9.  0.  4.  9.  9. 37.  0.],16.0,neut,5c02d554cf0f88000174a980,23,[],[66. 43. 40. 27. 14. 25. 18. 19. 17. 14. 13. 53. 61. 74. 69.],[],[ -7.  25. -25.   5.  20. -27.  27. -18.  -9.   4.   5.   0.  28. -37.],[],"[ 30.          31.33333333  53.33333333  49.33333333 100.
  58.33333333  40.33333333  54.66666667  45.66666667  37.
  55.          55.66666667  28.          63.33333333  37.33333333]",[],[],"[13.07669683 16.19670748 23.09401077 35.72580767 10.         22.54624876
 19.50213664 28.37839554 24.00694344 13.85640646  5.         40.07908848
 14.73091986 40.41451884 28.29016319]","[ 171.          262.33333333  533.33333333 1276.33333333  100.
  508.33333333  380.33333333  805.33333333  576.33333333  192.
   25.         1606.33333333  217.         1633.33333333  800.33333333]",[],[],[],"[ 4.          2.         18.33333333 12.66666667  9.         31.
 20.33333333 25.66666667 15.66666667  6.          3.66666667  5.66666667
  4.         15.         12.33333333]","[ 21.           4.          56.33333333  86.33333333  52.
 208.         582.33333333 485.33333333 357.33333333  27.
   6.33333333  17.33333333  19.         372.         456.33333333]","[ 4.58257569  2.          7.5055535   9.29157324  7.21110255 14.4222051
 24.13158373 22.03028219 18.90326251  5.19615242  2.51661148  4.163332
  4.35889894 19.28730152 21.36195996]","[-230000000000.0, -0.14999999999925, 0.65000000000325, -0.6499999999967501, -11.0000000011, 0.35000000000174997, -0.05882352941211072, 0.11111111111172839, -0.14999999999925, 0.07692307692366863, -40.000000004, 80000000000.0, 0.6190476190446712, -50000000000.0]",[66. 63. 20. 47. 13.  5.  1.  1. 37.  1. 12. 53. 82. 74. 89.],0
